                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9341,                 3.1884,                 1.3057,                0.04562,                 0.3722,                0.16643,                0.09171,                 1.4786,                 2.7641,                 0.9996,               0.070492,              0.0032787,              0.0032787
                      1,                 1.5364,                  1.729,                 1.0529,                0.69623,                0.54328,                0.60467,                0.37464,                 1.4425,                  1.596,                 1.0075,               0.040274,              0.0063938,              0.0063938
                      2,                 1.5955,                 1.3265,                 1.0544,                0.60362,                0.69191,                0.68727,                0.38069,                 1.4654,                 1.3163,                 1.0246,              0.0098354,               0.009289,               0.009289
                      3,                 1.5509,                 1.1875,                 1.0338,                0.82241,                0.88603,                0.90049,                 0.5439,                 1.4667,                 1.1138,                0.97247,                0.00901,                0.00901,                0.00901
                      4,                  1.432,                 1.0507,                0.99231,                0.83949,                0.85966,                0.92866,                0.56609,                 1.4263,                 1.0858,                0.93904,                0.00901,                0.00901,                0.00901
                      5,                 1.2529,                0.94278,                0.96702,                0.86727,                0.91299,                0.94608,                0.71757,                  0.978,                0.88264,                0.90627,                0.00868,                0.00868,                0.00868
                      6,                 1.1998,                0.86732,                0.94477,                0.85634,                0.89479,                0.94838,                0.69778,                 1.0482,                0.88259,                0.87506,                0.00835,                0.00835,                0.00835
                      7,                 1.1274,                0.80286,                0.92718,                0.96731,                0.94439,                0.96812,                 0.7288,                0.95084,                0.73278,                0.87198,                0.00802,                0.00802,                0.00802
                      8,                 1.0576,                0.75677,                0.92213,                0.93273,                0.92487,                0.96253,                0.72014,                0.96528,                0.80895,                0.86286,                0.00769,                0.00769,                0.00769
                      9,                 1.0355,                0.72843,                0.90964,                0.96585,                0.93592,                0.96572,                0.73241,                0.88575,                 0.7134,                0.85988,                0.00736,                0.00736,                0.00736
                     10,                0.98886,                0.70183,                0.90015,                0.97921,                0.94552,                 0.9689,                0.77695,                0.80072,                0.66604,                0.84952,                0.00703,                0.00703,                0.00703
                     11,                0.94356,                0.68397,                0.89829,                0.98009,                0.95034,                0.97163,                0.74846,                0.94023,                0.65947,                0.84499,                 0.0067,                 0.0067,                 0.0067
                     12,                0.90795,                 0.6581,                0.88826,                0.99068,                0.95222,                0.97144,                0.75071,                0.85949,                0.65521,                0.84923,                0.00637,                0.00637,                0.00637
                     13,                0.88758,                0.64525,                0.88453,                 0.9807,                0.95407,                0.97159,                0.78741,                0.83198,                0.65002,                0.84889,                0.00604,                0.00604,                0.00604
                     14,                0.87445,                0.63486,                0.87793,                0.99074,                0.96303,                0.97308,                0.79149,                0.80329,                0.61554,                0.83126,                0.00571,                0.00571,                0.00571
                     15,                0.86654,                0.62046,                0.87459,                0.97784,                0.95881,                0.97093,                 0.8133,                0.73468,                0.60396,                0.83263,                0.00538,                0.00538,                0.00538
                     16,                0.83223,                0.60183,                0.86873,                0.98644,                0.96529,                0.97408,                0.80348,                 0.7422,                 0.5858,                 0.8309,                0.00505,                0.00505,                0.00505
                     17,                0.80391,                0.58322,                0.86347,                0.98389,                0.96064,                0.97276,                0.79626,                0.77401,                0.61403,                0.82619,                0.00472,                0.00472,                0.00472
                     18,                0.79061,                0.58775,                0.86631,                0.97639,                0.96733,                0.97301,                 0.7917,                0.74604,                0.58974,                0.82916,                0.00439,                0.00439,                0.00439
                     19,                0.75894,                0.56251,                 0.8594,                0.97931,                0.96724,                0.97324,                0.81358,                0.71227,                0.57385,                0.82209,                0.00406,                0.00406,                0.00406
                     20,                0.74268,                0.58101,                0.85735,                0.98396,                0.97066,                0.97549,                0.82526,                0.70465,                0.56519,                0.82368,                0.00373,                0.00373,                0.00373
                     21,                0.70379,                0.54725,                 0.8511,                0.97786,                0.96535,                0.97307,                0.81399,                 0.7139,                0.57193,                0.82499,                 0.0034,                 0.0034,                 0.0034
                     22,                0.67236,                0.53318,                0.84806,                0.97243,                0.96379,                0.97163,                0.81564,                0.71774,                0.57598,                0.81751,                0.00307,                0.00307,                0.00307
                     23,                0.65794,                0.52116,                0.84194,                0.98303,                0.96767,                 0.9756,                  0.835,                0.65685,                0.54275,                0.81254,                0.00274,                0.00274,                0.00274
                     24,                0.62686,                0.50652,                0.83674,                0.97869,                0.96938,                0.97486,                0.83628,                0.63386,                0.52968,                0.80804,                0.00241,                0.00241,                0.00241
                     25,                0.61466,                 0.4982,                0.83633,                0.98347,                0.97041,                0.97537,                0.84926,                0.61654,                0.51541,                0.81219,                0.00208,                0.00208,                0.00208
                     26,                0.60326,                0.49182,                0.83415,                0.98781,                0.96754,                0.97654,                0.85266,                0.61488,                0.51291,                0.80921,                0.00175,                0.00175,                0.00175
                     27,                0.58026,                0.48147,                0.82997,                0.98399,                0.96783,                0.97477,                0.84525,                0.60062,                0.51177,                0.80735,                0.00142,                0.00142,                0.00142
                     28,                0.56552,                0.47176,                0.82799,                0.98626,                0.96725,                0.97562,                0.85933,                0.58619,                0.49714,                0.80492,                0.00109,                0.00109,                0.00109
                     29,                0.55662,                0.46703,                0.82879,                0.98555,                0.96888,                 0.9755,                0.85019,                0.59883,                0.50537,                0.80421,                0.00076,                0.00076,                0.00076
